descripcion_original,descripcion_generada,id,nombre
"Descubre la emoción de lo inesperado con el Tubo con 2 Figuras Sorpresa, un juguete interactivo que combina diversión, sorpresa y colección. Solo tienes que agregar agua al tubo de ensayo y agitar para activar una efervescencia mágica que revela dos figuras misteriosas. Es una forma innovadora de sorprender a los más pequeños y hacer crecer su colección con personajes únicos en cada tubo. Ideal como regalo o actividad lúdica, este tubo coleccionable convierte cada descubrimiento en una experiencia divertida, sensorial y emocionante. Incluye 3 piezas. Tipo de producto: Figuras.","Sumérgete en un mundo de emoción y sorpresa con el Tubo de 2 Figuras Sorpresa de MRBEAST LAB. Este fascinante juguete interactivo transforma el simple acto de agregar agua en una experiencia mágica: agita el tubo de ensayo y observa cómo la efervescencia revela dos misteriosas figuras coleccionables. Perfecto para estimular la imaginación de los pequeños, cada tubo promete un descubrimiento único que hará crecer su colección de personajes especiales. Con sus 3 piezas, este innovador set no solo es un regalo ideal, sino también una actividad lúdica que combina diversión, ciencia y el placer de coleccionar, convirtiendo cada apertura en un momento lleno de asombro y alegría.",4188155,Tubo con 2 Figuras Sorpresa
"¡Desata la diversión con las 5 Mega Figuras Swarp de la serie Atómica de MrBeast Lab! Cada micro bestia mide 1 pulgada de altura y ofrece una experiencia emocionante para los coleccionistas. Con más de 85 micro bestias únicas para coleccionar, esta caja especial permite mezclar, agitar y crear para revelar dos micro bestias en cada paquete. Además, ¿será tu coleccionista quien encuentre la codiciada caja Silver Mystery de Edición Limitada? ¡La aventura y el misterio están garantizados! Incluye 5 piezas. Tipo de producto: Figura. Ancho aproximado: 1.6"".","Sumérgete en el fascinante universo de MrBeast Lab con las 5 Mega Figuras Swarp de la serie Atómica. Estas adorables micro bestias de 1 pulgada de altura despertarán la imaginación de coleccionistas de todas las edades. Cada caja es una aventura en sí misma: agita, mezcla y descubre dos criaturas únicas en cada paquete. Con más de 85 diseños diferentes, la emoción está garantizada. ¿Serás tú quien encuentre la codiciada caja Silver Mystery de Edición Limitada? Ideal para niños a partir de 5 años, este set de 5 figuras surtidas promete horas de diversión y sorpresas. ¡Comienza tu colección ahora y desata un mundo de posibilidades!",4188278,5 Mega Figuras Swarp
"El set de construcción Laboratorio de Iron Man: Sala de Armaduras (76315) lleva a los jóvenes superhéroes y los fans de las películas de la saga Marvel Vengadores al emblemático laboratorio de Iron Man. Este set para construir, jugar y exponer, con figuras LEGO® ǀ Marvel y asombrosas características para inspirar imaginativas aventuras, es un regalo ideal para niños y niñas a partir de 8 años.El juguete LEGO ǀ Marvel incluye 3 vitrinas y 3 minifiguras de armaduras de Iron Man: MK1, MK43 y MK6. El elenco se completa con las minifiguras de Pepper Potts y el villano Aldrich Killian, un robot Dum-E construible e Igor, una gran armadura Iron Man MK3 provista de cabina con espacio para una minifigura y de brazos y piernas móviles. También trae una plataforma de mantenimiento con 2 brazos robóticos y un gran dispositivo de escaneo. Además, hay un extintor, 2 elementos que representan fuego y 2 cañones que disparan. La diversión en versión digital la aporta la intuitiva app LEGO Builder. Elset contiene 384 piezas. Incluye 384 piezas. Ancho aproximado: 4"". Colección: Lego Marvel. Personaje: Iron Man.","Adéntrate en el laboratorio de Tony Stark con el asombroso set LEGO Marvel ""Sala de Armaduras Iron Man"". Con 384 piezas, este juguete transporta a niños y niñas desde 8 años al corazón de la acción de los Vengadores. Construye las icónicas armaduras MK1, MK43 y MK6, y enfrenta al villano Aldrich Killian junto a Pepper Potts. La imponente armadura MK3 con cabina para minifiguras y el robot Dum-E añaden emoción a las aventuras. Incluye una plataforma de mantenimiento, dispositivo de escaneo y divertidos accesorios para recrear escenas épicas. Este set de 4 pulgadas de ancho combina perfectamente construcción, juego y exposición, despertando la imaginación de los pequeños superhéroes.",4187835,Lego Marvel Sala de Armaduras Iron Man
"El Camión de Hulk contra Thanos (76312) es un set de juego LEGO® Marvel construible que incluye el camión de alta resistencia de Hulk y 2 minifiguras de superhéroes. Este regalo de alta calidad para niños y niñas a partir de 7 años es ideal para fans de las películas de Marvel Avengers, los camiones gigantes y las aventuras de LEGO.Este camión de alta resistencia LEGO ǀ Marvel para construir incluye una minifigura de Hulk con casco desmontable y una minifigura de Thanos con un Teseracto y un Guantelete del Infinito. El camión de superhéroes cuenta con una cabina elevable que da acceso al asiento del conductor y espacio para la minifigura de Hulk. El exterior es verde con la leyenda ""¡Hulk Smash!"" y la cara de Hulk. Con grandes ruedas giratorias, un diseño robusto y una suspensión amortiguadora, el megacamión puede afrontar las misiones más difíciles. Para mayor diversión digital, los constructores pueden ampliar, rotar los modelos en 3D y seguir su progreso con la divertida e intuitiva app LEGO Builder. El set contiene 229 piezas. Incluye 229 piezas. Ancho aproximado: 3.5"". Colección: Lego Marvel. Personaje: Thanos.","Súmate a la épica batalla entre Hulk y Thanos con este asombroso set de LEGO Marvel de 229 piezas. El imponente camión verde de Hulk, con su cabina elevable y enormes ruedas, está listo para aplastar a cualquier enemigo. Los pequeños superhéroes desde 7 años podrán recrear emocionantes escenas de las películas de Los Vengadores, conduciendo a Hulk con su casco desmontable mientras enfrenta al temible Thanos y su Guantelete del Infinito. Este robusto vehículo de 3.5"" de ancho, con suspensión amortiguadora y la frase ""¡Hulk Smash!"" plasmada en su carrocería, promete horas de diversión y aventuras para los fanáticos de Marvel.",4187834,Lego Marvel Camión de Hulk vs Thanos
"Deja que la creatividad de los niños florezca con el set de construcción LEGO® Botanicals Petite Sunny Bouquet (10347) para niñas y niños a partir de 9 años. Con vibrantes tonos pastel y detalles auténticos, el ramo se convierte en una pieza de decoración floral que atesorarás para siempre.Los floristas en ciernes de todas las edades se divertirán muchísimo construyendo el ramo, que está lleno de una variedad de flores primaverales LEGO, incluyendo botones Billy, campanillas, helechos Cleopatra, milenrama amarilla, una gerbera rosa, una peonía y un tulipán. Después, usarán los tallos ajustables para crear un arreglo floral a medida. Una vez que hayan terminado de construir y personalizar el ramo, niños y adultos podrán exhibirlo con orgullo en sus habitaciones o usarlo como decoración de escritorio.Planta alegría con este kit de construcción inspirado en la naturaleza, ya sea para cumpleaños o cualquier ocasión, para niñas, niños y adultos amantes de las flores. Construye con amigos y familiares: la app LEGO Builder ofrece una experiencia divertida y colaborativa para construir este set. Incluye 373 piezas. Ancho aproximado: 3"". Colección: Lego Botanicals.","Descubre la magia de la primavera con el Lego Botanicals Pequeño Ramo Soleado, un encantador set de 373 piezas que hará florecer la creatividad de niños desde los 9 años y adultos por igual. Este vibrante bouquet de tonos pastel incluye una variedad de flores LEGO, como botones Billy, campanillas y una hermosa peonía, que cobrarán vida en tus manos. Con tallos ajustables, podrás crear un arreglo único que iluminará cualquier habitación o escritorio. Más que un simple juguete, es una experiencia de construcción que se transforma en una decoración duradera, perfecta para regalar o disfrutar en familia. ¡Planta alegría y construye recuerdos con este set inspirado en la naturaleza!",4187832,Lego Botanicals Pequeño Ramo Soleado
"Abre un libro para construir sobre la evolución de las STEM (ciencia, tecnología, ingeniería y matemáticas) con esta maqueta coleccionable LEGO® Ideas para adultos (21355). Un regalo científico inspirador para mujeres, hombres y amantes de la historia, el set cuenta con una base construible en forma de libro abierto, coronada por minifiguras que representan innovaciones históricas. Construye un coche antiguo y un ordenador doméstico, la sonda Voyager de la NASA con el Disco de Oro a bordo para cualquier forma de vida extraterrestre que pueda encontrarlo, y mucho más. Gira el dial para que una réplica 3D de un átomo de carbono flote hacia arriba y una cadena de ADN gire.El set incluye minifiguras LEGO de tres científicos famosos: Marie Curie (de soltera Skłodowska), la primera persona en ganar dos premios Nobel; Sir Isaac Newton, famoso por su ley de gravitación universal; y el científico agrícola pionero George Washington Carver.Encuentra las instrucciones de construcción en la caja y en la app LEGO Builder para ayudarte en cada paso de tu gratificante y creativo viaje a través de la historia de las ciencias, la tecnología, la ingeniería y las matemáticas (STEM). Contiene 879 piezas. Incluye 135 piezas. Ancho aproximado: 9"". Colección: Lego Icons.","Sumérgete en un fascinante viaje a través de la historia de las STEM con el set LEGO Ideas ""La Evolución de STEM"". Este ingenioso kit para adultos te invita a construir un libro tridimensional que cobra vida, revelando los hitos más importantes de la ciencia, tecnología, ingeniería y matemáticas. Con 879 piezas, podrás recrear desde un coche antiguo hasta la icónica sonda Voyager, e incluso hacer girar una cadena de ADN. Las minifiguras de Marie Curie, Isaac Newton y George Washington Carver te inspirarán mientras explores este mundo en miniatura de 9"" de ancho, perfecto para exhibir y despertar la curiosidad de grandes y chicos por igual.",4187827,Lego Ideas la Evolución de STEM
"Este detallado kit de maqueta de coche permite a niños de 9 años en adelante construir su propio Chevrolet Corvette Stingray LEGO® Technic™ (42205). Niños, niñas y aficionados a los emocionantes coches de juguete podrán divertirse ensamblando los detalles realistas antes de explorar las características auténticas. Admira la impresionante combinación de colores y el motor de 8 cilindros y el diferencial móviles. Usa la perilla para dirigir el coche y luego abre las puertas y el capó para admirar el interior.Los coches LEGO Technic cuentan con movimiento realista para introducir a los jóvenes constructores LEGO en el mundo de la ingeniería. Este set es un regalo ideal para los niños amantes de los vehículos LEGO.Ofrezca a los niños una aventura de construcción fácil e intuitiva con la aplicación LEGO Builder, donde pueden hacer zoom y rotar modelos en 3D, guardar conjuntos y seguir su progreso. Incluye 2000 piezas. Ancho aproximado: 5.5"". Colección: Lego Technic.","Sumérgete en la emocionante experiencia de construir tu propio Chevrolet Corvette Stingray con este asombroso set LEGO Technic de 2000 piezas. Diseñado para jóvenes ingenieros a partir de 9 años, este kit te invita a explorar el mundo de la mecánica mientras ensamblas un impresionante modelo a escala. Descubre la magia de ver cobrar vida un motor de 8 cilindros y un diferencial móvil, y maravíllate con los detalles realistas del interior al abrir las puertas y el capó. Con su vibrante combinación de colores y dirección funcional, este Corvette de 5.5"" de ancho no solo es un juguete, sino una aventura que despierta la imaginación y fomenta habilidades de ingeniería en constructores de todas las edades.",4187824,Lego Technic Chevrolet Corvette Stingray
"Este kit de maqueta de coche para niños y niñas desata la diversión trepidante para los fans de Rápidos y Furiosos a partir de 9 años. Ensambla los auténticos detalles del coche deportivo LEGO® Technic™ Rápidos y Furiosos Toyota Supra MK4 (42204). Después, aumenta la diversión explorando los detalles realistas. Esta maqueta de un icónico coche de la película incluye un motor de 6 cilindros, dirección, capó abatible y techo Targa desmontable. Incluso incluye dos botellas NOS en el maletero, igual que las que se ven en las emocionantes escenas de la primera película de Rápidos y Furiosos.Este set de coches de juguete Supra es un regalo creativo para niños amantes de los coches de Rápidos y Furiosos. También es un set ideal para construir juntos y compartir su pasión por la trepidante franquicia cinematográfica.Los sets LEGO Technic incorporan movimientos realistas para introducir a los pequeños constructores LEGO en el mundo de la ingeniería. Ofrece a los niños una aventura de construcción fácil e intuitiva con la app LEGO Builder, donde podrán ampliar y rotar modelos en 3D, guardar sets y seguir su progreso. Incluye 45 piezas. Ancho aproximado: 5"". Colección: Lego Technic.","Sumérgete en la adrenalina de ""Rápidos y Furiosos"" con el LEGO Technic Toyota Supra MK4, un fascinante kit de 45 piezas que captura la esencia del icónico automóvil de la película. Diseñado para jóvenes constructores a partir de 9 años, este modelo de 5"" de ancho te invita a explorar auténticos detalles como el motor de 6 cilindros, dirección funcional, capó abatible y techo Targa desmontable. Descubre las botellas NOS ocultas en el maletero y revive las emocionantes escenas de la primera película. Perfecto para compartir en familia, este set no solo ofrece una experiencia de construcción intuitiva, sino que también introduce a los niños al apasionante mundo de la ingeniería de una manera divertida y accesible.",4187823,Lego Technic Rapido y Furioso Toyo Supra MX4
"Los fanáticos de Ferrari y los niños de 7 años en adelante ahora pueden construir, exhibir y representar la acción de las carreras con este modelo a escala mini construido con ladrillos del famoso Ferrari 499P – Hypercar. Incluye 499 piezas. Colección: Lego Speed Champions.","Sumérgete en la emoción de las carreras con el Lego Speed Champions Ferrari 499P, un fascinante set de 499 piezas que captura la esencia del legendario hypercar italiano. Diseñado para jóvenes constructores a partir de 7 años, este modelo a escala mini permite a los fanáticos de Ferrari recrear la adrenalina de la pista en casa. Cada ladrillo te acerca más a la experiencia de ser parte del equipo de ingenieros de la Scuderia, mientras das vida a un ícono de la velocidad y la ingeniería. Ya sea en exhibición o en plena acción de juego, este Ferrari de Lego promete horas de diversión y creatividad para pequeños y grandes apasionados del automovilismo.",4187814,Lego Speed Champions Ferrari 499 Piezas
"Bienvenido al modelo LEGO® Star Wars Millennium Falcon más grande y detallado que jamás hayamos creado. De hecho, con 7500 piezas, ¡es uno de nuestros modelos LEGO más grandes, punto! Esta increíble interpretación en LEGO del inolvidable carguero corelliano de Han Solo tiene todos los detalles que los fans de Star Wars de todas las edades podrían desear, incluyendo intrincados detalles exteriores, cañones láser cuádruples superiores e inferiores, patas de aterrizaje, rampa de embarque descendente y una cabina para 4 minifiguras con cubierta desmontable. Retira las placas individuales del casco para revelar la bodega principal, el compartimento trasero y la estación de artillería, altamente detallados. Este increíble modelo también cuenta con antenas parabólicas y tripulación intercambiables, para que puedas decidir si quieres vivir las clásicas aventuras de LEGO Star Wars con Han, Leia, Chewbacca y C-3PO, o adentrarte en el mundo de los Episodios VII y VIII con Han, Rey, Finn y BB-8, ¡más veteranos! Incluye 7541 piezas. Ancho aproximado: 23"". Colección: Lego Star Wars.","Embárcate en una aventura galáctica con el asombroso Halcón Milenario de LEGO Star Wars, un set que hará despegar tu imaginación. Con sus impresionantes 7541 piezas, este modelo detallado del icónico carguero corelliano de Han Solo es un desafío emocionante para constructores a partir de 6 años. Explora sus intrincados detalles, desde los cañones láser hasta la rampa de embarque, y personaliza tu tripulación con minifiguras intercambiables de las sagas clásica y moderna. Ya seas fan de toda la vida o nuevo en la galaxia, este Halcón Milenario de 23 pulgadas de ancho te transportará a emocionantes misiones estelares, despertando la Fuerza creativa en toda la familia.",4187813,Lego Star Wars Halcón Milenario
