descripcion_original,descripcion_generada,id,nombre
"Descubre la emoción de lo inesperado con el Tubo con 2 Figuras Sorpresa, un juguete interactivo que combina diversión, sorpresa y colección. Solo tienes que agregar agua al tubo de ensayo y agitar para activar una efervescencia mágica que revela dos figuras misteriosas. Es una forma innovadora de sorprender a los más pequeños y hacer crecer su colección con personajes únicos en cada tubo. Ideal como regalo o actividad lúdica, este tubo coleccionable convierte cada descubrimiento en una experiencia divertida, sensorial y emocionante. Incluye 3 piezas. Tipo de producto: Figuras.","Sumérgete en la magia del descubrimiento con el Tubo con 2 Figuras Sorpresa de MRBEAST LAB. Simplemente agrega agua al tubo de ensayo y agita para desatar una efervescencia que revela dos figuras misteriosas, llenas de sorpresa y diversión. Este juguete interactivo es perfecto para expandir la colección de tus pequeños, cada tubo es una aventura única. Con 3 piezas incluidas, es ideal para regalos o para estimular la imaginación y creatividad de los niños, transformando cada momento en una experiencia emocionante y sensorial. ¡Déjate sorprender por MRBEAST LAB SWARMS TUBO 2 FIG. SORPRESA!",4188155,Tubo con 2 Figuras Sorpresa
"¡Desata la diversión con las 5 Mega Figuras Swarp de la serie Atómica de MrBeast Lab! Cada micro bestia mide 1 pulgada de altura y ofrece una experiencia emocionante para los coleccionistas. Con más de 85 micro bestias únicas para coleccionar, esta caja especial permite mezclar, agitar y crear para revelar dos micro bestias en cada paquete. Además, ¿será tu coleccionista quien encuentre la codiciada caja Silver Mystery de Edición Limitada? ¡La aventura y el misterio están garantizados! Incluye 5 piezas. Tipo de producto: Figura. Ancho aproximado: 1.6"".","Sumérgete en la emocionante aventura con las 5 Mega Figuras Swarp de la serie Atómica de MrBeast Lab. Cada una de estas micro bestias mide solo 1 pulgada de altura, pero ¡la diversión es gigante! Con más de 85 micro bestias únicas para coleccionar, cada paquete te sorprenderá con dos micro bestias misteriosas. ¿Acaso serás tú quien encuentre la codiciada caja Silver Mystery de Edición Limitada? ¡La sorpresa y el misterio están asegurados! Incluye 5 piezas y el ancho aproximado es de 1.6"", perfectas para coleccionistas de todas las edades. ¡Despierta tu imaginación y sumérgete en la colección!",4188278,5 Mega Figuras Swarp
"El set de construcción Laboratorio de Iron Man: Sala de Armaduras (76315) lleva a los jóvenes superhéroes y los fans de las películas de la saga Marvel Vengadores al emblemático laboratorio de Iron Man. Este set para construir, jugar y exponer, con figuras LEGO® ǀ Marvel y asombrosas características para inspirar imaginativas aventuras, es un regalo ideal para niños y niñas a partir de 8 años.El juguete LEGO ǀ Marvel incluye 3 vitrinas y 3 minifiguras de armaduras de Iron Man: MK1, MK43 y MK6. El elenco se completa con las minifiguras de Pepper Potts y el villano Aldrich Killian, un robot Dum-E construible e Igor, una gran armadura Iron Man MK3 provista de cabina con espacio para una minifigura y de brazos y piernas móviles. También trae una plataforma de mantenimiento con 2 brazos robóticos y un gran dispositivo de escaneo. Además, hay un extintor, 2 elementos que representan fuego y 2 cañones que disparan. La diversión en versión digital la aporta la intuitiva app LEGO Builder. Elset contiene 384 piezas. Incluye 384 piezas. Ancho aproximado: 4"". Colección: Lego Marvel. Personaje: Iron Man.","Sumérgete en el mundo de los superhéroes con el set de construcción Lego Marvel Sala de Armaduras Iron Man (76315), perfecto para niños y niñas a partir de 8 años. Este fascinante laboratorio de Iron Man incluye 3 vitrinas, 3 minifiguras de armaduras de Iron Man, Pepper Potts y el villano Aldrich Killian, además de un impresionante robot Dum-E y una gran armadura MK3. Con 384 piezas, este set ofrece una aventura de construcción y juego con brazos robóticos, un dispositivo de escaneo y cañones que disparan, todo para inspirar imaginativas aventuras. ¡Una colección imprescindible para los fans de Marvel!",4187835,Lego Marvel Sala de Armaduras Iron Man
"El Camión de Hulk contra Thanos (76312) es un set de juego LEGO® Marvel construible que incluye el camión de alta resistencia de Hulk y 2 minifiguras de superhéroes. Este regalo de alta calidad para niños y niñas a partir de 7 años es ideal para fans de las películas de Marvel Avengers, los camiones gigantes y las aventuras de LEGO.Este camión de alta resistencia LEGO ǀ Marvel para construir incluye una minifigura de Hulk con casco desmontable y una minifigura de Thanos con un Teseracto y un Guantelete del Infinito. El camión de superhéroes cuenta con una cabina elevable que da acceso al asiento del conductor y espacio para la minifigura de Hulk. El exterior es verde con la leyenda ""¡Hulk Smash!"" y la cara de Hulk. Con grandes ruedas giratorias, un diseño robusto y una suspensión amortiguadora, el megacamión puede afrontar las misiones más difíciles. Para mayor diversión digital, los constructores pueden ampliar, rotar los modelos en 3D y seguir su progreso con la divertida e intuitiva app LEGO Builder. El set contiene 229 piezas. Incluye 229 piezas. Ancho aproximado: 3.5"". Colección: Lego Marvel. Personaje: Thanos.","Sumérgete en la emocionante aventura de los superhéroes con el Camión de Hulk vs Thanos de LEGO Marvel (76312), un set de construcción perfecto para niños y niñas a partir de 7 años. Este set de 229 piezas incluye un robusto camión de alta resistencia con una cabina elevable y grandes ruedas giratorias, además de dos fascinantes minifiguras: Hulk con su casco desmontable y Thanos con el Teseracto y el Guantelete del Infinito. ¡Dale vida a tus historias de superhéroes con este juguete de alta calidad que combina diversión, creatividad y aprendizaje en una aventura inolvidable!",4187834,Lego Marvel Camión de Hulk vs Thanos
"Deja que la creatividad de los niños florezca con el set de construcción LEGO® Botanicals Petite Sunny Bouquet (10347) para niñas y niños a partir de 9 años. Con vibrantes tonos pastel y detalles auténticos, el ramo se convierte en una pieza de decoración floral que atesorarás para siempre.Los floristas en ciernes de todas las edades se divertirán muchísimo construyendo el ramo, que está lleno de una variedad de flores primaverales LEGO, incluyendo botones Billy, campanillas, helechos Cleopatra, milenrama amarilla, una gerbera rosa, una peonía y un tulipán. Después, usarán los tallos ajustables para crear un arreglo floral a medida. Una vez que hayan terminado de construir y personalizar el ramo, niños y adultos podrán exhibirlo con orgullo en sus habitaciones o usarlo como decoración de escritorio.Planta alegría con este kit de construcción inspirado en la naturaleza, ya sea para cumpleaños o cualquier ocasión, para niñas, niños y adultos amantes de las flores. Construye con amigos y familiares: la app LEGO Builder ofrece una experiencia divertida y colaborativa para construir este set. Incluye 373 piezas. Ancho aproximado: 3"". Colección: Lego Botanicals.","Sumérgete en un mundo de creatividad y naturaleza con el Lego Botanicals Pequeño Ramo Soleado, un conjunto de construcción perfecto para niños y adultos a partir de 9 años. ¡Deja volar tu imaginación con este encantador ramo de flores de LEGO, que incluye vibrantes botones Billy, campanillas, helechos Cleopatra y más! Con 373 piezas, este set no solo fomenta la creatividad y la colaboración, sino que también resulta en una hermosa decoración que podrás exhibir en tu hogar. Únete a la diversión con amigos y familiares, y utiliza la app LEGO Builder para una experiencia de construcción aún más emocionante. ¡Un regalo ideal para cualquier amante de las flores!",4187832,Lego Botanicals Pequeño Ramo Soleado
"Abre un libro para construir sobre la evolución de las STEM (ciencia, tecnología, ingeniería y matemáticas) con esta maqueta coleccionable LEGO® Ideas para adultos (21355). Un regalo científico inspirador para mujeres, hombres y amantes de la historia, el set cuenta con una base construible en forma de libro abierto, coronada por minifiguras que representan innovaciones históricas. Construye un coche antiguo y un ordenador doméstico, la sonda Voyager de la NASA con el Disco de Oro a bordo para cualquier forma de vida extraterrestre que pueda encontrarlo, y mucho más. Gira el dial para que una réplica 3D de un átomo de carbono flote hacia arriba y una cadena de ADN gire.El set incluye minifiguras LEGO de tres científicos famosos: Marie Curie (de soltera Skłodowska), la primera persona en ganar dos premios Nobel; Sir Isaac Newton, famoso por su ley de gravitación universal; y el científico agrícola pionero George Washington Carver.Encuentra las instrucciones de construcción en la caja y en la app LEGO Builder para ayudarte en cada paso de tu gratificante y creativo viaje a través de la historia de las ciencias, la tecnología, la ingeniería y las matemáticas (STEM). Contiene 879 piezas. Incluye 135 piezas. Ancho aproximado: 9"". Colección: Lego Icons.","Sumérgete en un viaje fascinante a través de la historia de la ciencia, tecnología, ingeniería y matemáticas con el Lego Ideas la Evolución de STEM (21355). Este set de construcción coleccionable para adultos ofrece una experiencia educativa y emocionante, con una base en forma de libro abierto que alberga minifiguras inspiradoras de Marie Curie, Sir Isaac Newton y George Washington Carver. Construye un coche antiguo, una sonda espacial y un ordenador, y descubre una réplica 3D de un átomo de carbono y una cadena de ADN giratoria. Con 879 piezas y detallados detalles, este regalo científico es perfecto para amantes de la historia y entusiastas de la STEM. ¡Únete a la colección Lego Icons y despierta tu imaginación!",4187827,Lego Ideas la Evolución de STEM
"Este detallado kit de maqueta de coche permite a niños de 9 años en adelante construir su propio Chevrolet Corvette Stingray LEGO® Technic™ (42205). Niños, niñas y aficionados a los emocionantes coches de juguete podrán divertirse ensamblando los detalles realistas antes de explorar las características auténticas. Admira la impresionante combinación de colores y el motor de 8 cilindros y el diferencial móviles. Usa la perilla para dirigir el coche y luego abre las puertas y el capó para admirar el interior.Los coches LEGO Technic cuentan con movimiento realista para introducir a los jóvenes constructores LEGO en el mundo de la ingeniería. Este set es un regalo ideal para los niños amantes de los vehículos LEGO.Ofrezca a los niños una aventura de construcción fácil e intuitiva con la aplicación LEGO Builder, donde pueden hacer zoom y rotar modelos en 3D, guardar conjuntos y seguir su progreso. Incluye 2000 piezas. Ancho aproximado: 5.5"". Colección: Lego Technic.","Sumérgete en un mundo de creatividad y aprendizaje con el Lego Technic Chevrolet Corvette Stingray. Este detallado kit de 2000 piezas es perfecto para niños a partir de 9 años y amantes de los coches. Construyen juntos el impresionante Chevrolet Corvette Stingray LEGO® Technic™ (42205), admirando los detalles realistas y el motor de 8 cilindros. Usa la perilla para dirigir el coche, abre las puertas y el capó para explorar el interior. ¡Una experiencia de construcción intuitiva y emocionante que combina diversión y aprendizaje, ideal para los pequeños constructores y entusiastas de los vehículos!",4187824,Lego Technic Chevrolet Corvette Stingray
"Este kit de maqueta de coche para niños y niñas desata la diversión trepidante para los fans de Rápidos y Furiosos a partir de 9 años. Ensambla los auténticos detalles del coche deportivo LEGO® Technic™ Rápidos y Furiosos Toyota Supra MK4 (42204). Después, aumenta la diversión explorando los detalles realistas. Esta maqueta de un icónico coche de la película incluye un motor de 6 cilindros, dirección, capó abatible y techo Targa desmontable. Incluso incluye dos botellas NOS en el maletero, igual que las que se ven en las emocionantes escenas de la primera película de Rápidos y Furiosos.Este set de coches de juguete Supra es un regalo creativo para niños amantes de los coches de Rápidos y Furiosos. También es un set ideal para construir juntos y compartir su pasión por la trepidante franquicia cinematográfica.Los sets LEGO Technic incorporan movimientos realistas para introducir a los pequeños constructores LEGO en el mundo de la ingeniería. Ofrece a los niños una aventura de construcción fácil e intuitiva con la app LEGO Builder, donde podrán ampliar y rotar modelos en 3D, guardar sets y seguir su progreso. Incluye 45 piezas. Ancho aproximado: 5"". Colección: Lego Technic.","Sumérgete en una emocionante aventura con el Lego Technic Rapido y Furioso Toyota Supra MX4, un set de construcción perfecto para los fanáticos de Rápidos y Furiosos a partir de 9 años. Este increíble kit de maqueta de coche ofrece una experiencia de ensamblaje fascinante con detalles auténticos del deportivo Toyota Supra MK4, incluyendo un motor de 6 cilindros, una dirección funcional y un techo Targa desmontable. Con 45 piezas y dos botellas NOS del maletero, como en la primera película, este juguete no solo te hará sentir parte de la acción, sino que también te invita a compartir una experiencia de construcción creativa con tus hijos. ¡Una aventura de ingeniería y diversión que no te querrás perder!",4187823,Lego Technic Rapido y Furioso Toyo Supra MX4
"Los fanáticos de Ferrari y los niños de 7 años en adelante ahora pueden construir, exhibir y representar la acción de las carreras con este modelo a escala mini construido con ladrillos del famoso Ferrari 499P – Hypercar. Incluye 499 piezas. Colección: Lego Speed Champions.","Sumérgete en el mundo de la velocidad y la emoción con el Lego Speed Champions Ferrari 499, un conjunto de 499 piezas que cautivará a los fanáticos de Ferrari y a los niños de 7 años en adelante. Construye, exhibe y vive la acción de las carreras con este modelo a escala mini del famoso Ferrari 499P – Hypercar. Una colección Lego Speed Champions que combina creatividad, aprendizaje y diversión, perfecta para quienes buscan un regalo que inspire imaginación y pasión por las carreras. ¡Reúnete con tus piezas y despierta la velocidad!",4187814,Lego Speed Champions Ferrari 499 Piezas
"Bienvenido al modelo LEGO® Star Wars Millennium Falcon más grande y detallado que jamás hayamos creado. De hecho, con 7500 piezas, ¡es uno de nuestros modelos LEGO más grandes, punto! Esta increíble interpretación en LEGO del inolvidable carguero corelliano de Han Solo tiene todos los detalles que los fans de Star Wars de todas las edades podrían desear, incluyendo intrincados detalles exteriores, cañones láser cuádruples superiores e inferiores, patas de aterrizaje, rampa de embarque descendente y una cabina para 4 minifiguras con cubierta desmontable. Retira las placas individuales del casco para revelar la bodega principal, el compartimento trasero y la estación de artillería, altamente detallados. Este increíble modelo también cuenta con antenas parabólicas y tripulación intercambiables, para que puedas decidir si quieres vivir las clásicas aventuras de LEGO Star Wars con Han, Leia, Chewbacca y C-3PO, o adentrarte en el mundo de los Episodios VII y VIII con Han, Rey, Finn y BB-8, ¡más veteranos! Incluye 7541 piezas. Ancho aproximado: 23"". Colección: Lego Star Wars.","Sumérgete en el universo de Star Wars con el impresionante Lego Star Wars Halcón Milenario, un modelo de ensueño compuesto por 7541 piezas. Este detallado y gigantesco Millennium Falcon, con sus cañones láser, patas de aterrizaje y una cabina para 4 minifiguras, es una obra maestra que cautivará a los fans de todas las edades. Descubre la bodega principal, el compartimento trasero y la estación de artillería, cada uno lleno de detalles fascinantes. ¡Recrea emocionantes aventuras con tus personajes favoritos de Star Wars, desde Han Solo hasta Rey, y transporta tu imaginación a nuevas galaxias!",4187813,Lego Star Wars Halcón Milenario
"¡Acción a toda velocidad con LEGO® Marvel™: Robo del museo de Venom! Este emocionante set de 36 piezas, ideal para niños desde los 6 años, recrea una escena épica donde Venom intenta escapar con un valioso objeto del museo. ¿Podrá ser detenido a tiempo? Compacto y fácil de armar, este set es perfecto para jugar en cualquier lugar o para expandir el universo LEGO® Marvel™ con nuevas historias llenas de adrenalina. Incluye 36 piezas. Personaje: Spiderman.","Sumérgete en la emocionante aventura de LEGO® Marvel™ con el ""Lego Recruitment Museo de Venom"" ¡un set de 36 piezas perfecto para niños a partir de 6 años! Imagina a Spiderman enfrentando a Venom en una escena épica donde el héroe debe detener el robo del museo. Este set compacto y fácil de armar es ideal para jugar en cualquier lugar y expandir el universo LEGO® Marvel™ con nuevas historias llenas de acción y adrenalina. ¡Despierta la imaginación y la creatividad de los pequeños con este emocionante desafío!",4187812,Lego Recruitment Museo de Venom
"La Cámara de Juicio (21271) es un juguete LEGO® Minecraft® de alta calidad para niños a partir de 8 años. Este juguete de construcción para niños y niñas es un práctico set de videojuego que los lleva a una emocionante búsqueda del tesoro donde los jugadores deberán luchar contra monstruos y esquivar misiles a medida que avanzan.Este creativo juguete de construcción se ambienta en la cámara de pruebas de Minecraft. Incluye dos figuras de esqueletos, dos figuras de brisa, una minifigura de Shadow Hoodie y dos generadores. Hay dos lanzamisiles de disparo rápido (uno en cada pared) y un misil con resorte y gatillo tras la pared trasera. Tres recipientes, cada uno con una esmeralda o un diamante, contienen el codiciado tesoro. Para más posibilidades de juego, una habitación en la parte trasera del set está equipada con una cama y una mesa. Para mayor diversión digital, la app LEGO Builder permite a los niños ampliar, rotar los modelos en 3D y seguir su progreso. Incluye 322 piezas. Ancho aproximado: 8.5"". Colección: Lego Minecraft.","Sumérgete en el mundo de Minecraft con la Cámara de Juicio de Lego, un set de construcción de alta calidad que cautivará a los niños a partir de 8 años. Este juguete creativo y desafiante te transporta a una emocionante aventura donde deberás enfrentar monstruos y esquivar misiles en la cámara de pruebas de Minecraft. Con 322 piezas, incluye dos esqueletos, dos brisas, una minifigura de Shadow Hoodie y dos generadores, además de dos lanzamisiles y un misil con resorte. Explora la habitación trasera con cama y mesa, y descubre tesoros escondidos en tres recipientes. ¡Descarga la app LEGO Builder para ampliar y rotar los modelos en 3D! Una experiencia de juego llena de imaginación y diversión.",4187811,Lego Minecraft Cámara de Juicio
"Deleita a los amantes de la música, el arte y el diseño con el set de juego LEGO® Creator 3 en 1 Tocadiscos con Flores (31172). Un tocadiscos de estilo retro para niños y niñas a partir de 8 años, que incluye un plato giratorio móvil, un brazo fonocaptor móvil con aguja y dos discos, además de flores extraíbles.Los fans de LEGO pueden elegir entre tres opciones diferentes para construir sets de música: un tocadiscos con flores; una radio de juguete de estilo retro con botones móviles, antena ajustable y flores extraíbles; o un micrófono clásico giratorio con un soporte para flores. Cada modelo puede usarse para un divertido juego de rol o como un atractivo elemento decorativo para el hogar.Los sets LEGO Creator 3 en 1 son el regalo perfecto para niños y ofrecen 3 opciones de construcción diferentes en cada caja. Estos sets de juguetes reconstruibles 3 en 1 les permiten disfrutar del juego imaginativo y ofrecen una impresionante gama que despierta sus mayores pasiones, como vehículos, animales y casas. Ten en cuenta que las maquetas del mismo set no se pueden construir simultáneamente. Incluye 366 piezas. Ancho aproximado: 12"". Colección: Lego Creator.","Sumérgete en un mundo de creatividad y diversión con el LEGO® Creator Tocadiscos con Flores (31172). Este set de construcción de la marca LEGO es perfecto para niños y niñas a partir de 8 años, y ofrece una experiencia única con tres opciones de diseño: un tocadiscos retro con flores, una radio de juguete con botones y antena, o un micrófono clásico. Con 366 piezas, este juguete no solo fomenta la imaginación y la creatividad, sino que también puede convertirse en un encantador elemento decorativo. ¡Explora, construye y sumergete en la música con este regalo ideal para los amantes de la música y el arte!",4187810,Lego Creator Tocadiscos con Flores
