nombre,precio,url,imagen,marca,Edad Recomendada,id,descripcion_y,gda,descripcion gda,gda 1,descripcion gda 1,gda 2,descripcion gda 2,descripcion_estandarizada
Tubo con 2 Figuras Sorpresa,595.0,https://jugueton.com.do/tubo-con-2-figuras-sorpresa-4188155.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188155-1__1750089341.jpg,MRBEAST LAB,3+,4188155,MRBEAST LAB SWARMS TUBO 2 FIG. SORPRESA,J9010901,MU¥ECOS,J90109,FIGURAS Y ACCION,J,JUGUETES,"Descubre la emoción de lo inesperado con el Tubo con 2 Figuras Sorpresa, un juguete interactivo que combina diversión, sorpresa y colección. Solo tienes que agregar agua al tubo de ensayo y agitar para activar una efervescencia mágica que revela dos figuras misteriosas. Es una forma innovadora de sorprender a los más pequeños y hacer crecer su colección con personajes únicos en cada tubo. Ideal como regalo o actividad lúdica, este tubo coleccionable convierte cada descubrimiento en una experiencia divertida, sensorial y emocionante. Incluye 3 piezas. Tipo de producto: Figuras."
5 Mega Figuras Swarp,1095.0,https://jugueton.com.do/5-mega-figuras-swarp-4188278.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4188278-7__1749823637.jpg,MRBEAST LAB,5+,4188278,MRBEAST S2 LAB SWARMS FIG. 5 SURTIDA 5+,J9010901,MU¥ECOS,J90109,FIGURAS Y ACCION,J,JUGUETES,"¡Desata la diversión con las 5 Mega Figuras Swarp de la serie Atómica de MrBeast Lab! Cada micro bestia mide 1 pulgada de altura y ofrece una experiencia emocionante para los coleccionistas. Con más de 85 micro bestias únicas para coleccionar, esta caja especial permite mezclar, agitar y crear para revelar dos micro bestias en cada paquete. Además, ¿será tu coleccionista quien encuentre la codiciada caja Silver Mystery de Edición Limitada? ¡La aventura y el misterio están garantizados! Incluye 5 piezas. Tipo de producto: Figura. Ancho aproximado: 1.6""."
Lego Marvel Sala de Armaduras Iron Man,4046.25,https://jugueton.com.do/lego-marvel-sala-de-armaduras-iron-man-4187835.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187835-1__1749823633.jpg,Lego,8+,4187835,LEGO MARVEL SALA ARMADURA IRON MAN 8+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"El set de construcción Laboratorio de Iron Man: Sala de Armaduras (76315) lleva a los jóvenes superhéroes y los fans de las películas de la saga Marvel Vengadores al emblemático laboratorio de Iron Man. Este set para construir, jugar y exponer, con figuras LEGO® ǀ Marvel y asombrosas características para inspirar imaginativas aventuras, es un regalo ideal para niños y niñas a partir de 8 años.El juguete LEGO ǀ Marvel incluye 3 vitrinas y 3 minifiguras de armaduras de Iron Man: MK1, MK43 y MK6. El elenco se completa con las minifiguras de Pepper Potts y el villano Aldrich Killian, un robot Dum-E construible e Igor, una gran armadura Iron Man MK3 provista de cabina con espacio para una minifigura y de brazos y piernas móviles. También trae una plataforma de mantenimiento con 2 brazos robóticos y un gran dispositivo de escaneo. Además, hay un extintor, 2 elementos que representan fuego y 2 cañones que disparan. La diversión en versión digital la aporta la intuitiva app LEGO Builder. Elset contiene 384 piezas. Incluye 384 piezas. Ancho aproximado: 4"". Colección: Lego Marvel. Personaje: Iron Man."
Lego Marvel Camión de Hulk vs Thanos,2921.25,https://jugueton.com.do/lego-marvel-camion-de-hulk-vs-thanos-4187834.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187834-1__1749823627.jpg,Lego,7+,4187834,LEGO MARVEL HULK TRUCK VS THANOS 7+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"El Camión de Hulk contra Thanos (76312) es un set de juego LEGO® Marvel construible que incluye el camión de alta resistencia de Hulk y 2 minifiguras de superhéroes. Este regalo de alta calidad para niños y niñas a partir de 7 años es ideal para fans de las películas de Marvel Avengers, los camiones gigantes y las aventuras de LEGO.Este camión de alta resistencia LEGO ǀ Marvel para construir incluye una minifigura de Hulk con casco desmontable y una minifigura de Thanos con un Teseracto y un Guantelete del Infinito. El camión de superhéroes cuenta con una cabina elevable que da acceso al asiento del conductor y espacio para la minifigura de Hulk. El exterior es verde con la leyenda ""¡Hulk Smash!"" y la cara de Hulk. Con grandes ruedas giratorias, un diseño robusto y una suspensión amortiguadora, el megacamión puede afrontar las misiones más difíciles. Para mayor diversión digital, los constructores pueden ampliar, rotar los modelos en 3D y seguir su progreso con la divertida e intuitiva app LEGO Builder. El set contiene 229 piezas. Incluye 229 piezas. Ancho aproximado: 3.5"". Colección: Lego Marvel. Personaje: Thanos."
Lego Botanicals Pequeño Ramo Soleado,2321.25,https://jugueton.com.do/lego-botanicals-peque-o-ramo-soleado-4187832.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187832-1__1749823620.jpg,Lego,9+,4187832,LEGO BOTANICALS PETITE SUNNY BOUQUET 9+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Deja que la creatividad de los niños florezca con el set de construcción LEGO® Botanicals Petite Sunny Bouquet (10347) para niñas y niños a partir de 9 años. Con vibrantes tonos pastel y detalles auténticos, el ramo se convierte en una pieza de decoración floral que atesorarás para siempre.Los floristas en ciernes de todas las edades se divertirán muchísimo construyendo el ramo, que está lleno de una variedad de flores primaverales LEGO, incluyendo botones Billy, campanillas, helechos Cleopatra, milenrama amarilla, una gerbera rosa, una peonía y un tulipán. Después, usarán los tallos ajustables para crear un arreglo floral a medida. Una vez que hayan terminado de construir y personalizar el ramo, niños y adultos podrán exhibirlo con orgullo en sus habitaciones o usarlo como decoración de escritorio.Planta alegría con este kit de construcción inspirado en la naturaleza, ya sea para cumpleaños o cualquier ocasión, para niñas, niños y adultos amantes de las flores. Construye con amigos y familiares: la app LEGO Builder ofrece una experiencia divertida y colaborativa para construir este set. Incluye 373 piezas. Ancho aproximado: 3"". Colección: Lego Botanicals."
Lego Ideas la Evolución de STEM,5996.25,https://jugueton.com.do/lego-ideas-la-evolucion-de-stem-4187827.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187827-1__1749823615.jpg,Lego,18+,4187827,LEGO IDEAS THE EVOLUTION STEM 18+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Abre un libro para construir sobre la evolución de las STEM (ciencia, tecnología, ingeniería y matemáticas) con esta maqueta coleccionable LEGO® Ideas para adultos (21355). Un regalo científico inspirador para mujeres, hombres y amantes de la historia, el set cuenta con una base construible en forma de libro abierto, coronada por minifiguras que representan innovaciones históricas. Construye un coche antiguo y un ordenador doméstico, la sonda Voyager de la NASA con el Disco de Oro a bordo para cualquier forma de vida extraterrestre que pueda encontrarlo, y mucho más. Gira el dial para que una réplica 3D de un átomo de carbono flote hacia arriba y una cadena de ADN gire.El set incluye minifiguras LEGO de tres científicos famosos: Marie Curie (de soltera Skłodowska), la primera persona en ganar dos premios Nobel; Sir Isaac Newton, famoso por su ley de gravitación universal; y el científico agrícola pionero George Washington Carver.Encuentra las instrucciones de construcción en la caja y en la app LEGO Builder para ayudarte en cada paso de tu gratificante y creativo viaje a través de la historia de las ciencias, la tecnología, la ingeniería y las matemáticas (STEM). Contiene 879 piezas. Incluye 135 piezas. Ancho aproximado: 9"". Colección: Lego Icons."
Lego Technic Chevrolet Corvette Stingray,4421.25,https://jugueton.com.do/lego-technic-chevrolet-corvette-stingray-4187824.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187824-1__1749823602.jpg,Lego,9+,4187824,LEGO TECHNIC CHEVROLET CORVETTE STIN 9+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Este detallado kit de maqueta de coche permite a niños de 9 años en adelante construir su propio Chevrolet Corvette Stingray LEGO® Technic™ (42205). Niños, niñas y aficionados a los emocionantes coches de juguete podrán divertirse ensamblando los detalles realistas antes de explorar las características auténticas. Admira la impresionante combinación de colores y el motor de 8 cilindros y el diferencial móviles. Usa la perilla para dirigir el coche y luego abre las puertas y el capó para admirar el interior.Los coches LEGO Technic cuentan con movimiento realista para introducir a los jóvenes constructores LEGO en el mundo de la ingeniería. Este set es un regalo ideal para los niños amantes de los vehículos LEGO.Ofrezca a los niños una aventura de construcción fácil e intuitiva con la aplicación LEGO Builder, donde pueden hacer zoom y rotar modelos en 3D, guardar conjuntos y seguir su progreso. Incluye 2000 piezas. Ancho aproximado: 5.5"". Colección: Lego Technic."
Lego Technic Rapido y Furioso Toyo Supra MX4,4421.25,https://jugueton.com.do/lego-technic-rapido-y-furioso-toyo-supra-mx4-4187823.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187823-1__1749823597.jpg,Lego,9+,4187823,LEGO TECHNIC FAST&FURIOUS TOYOTA SUPRA,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Este kit de maqueta de coche para niños y niñas desata la diversión trepidante para los fans de Rápidos y Furiosos a partir de 9 años. Ensambla los auténticos detalles del coche deportivo LEGO® Technic™ Rápidos y Furiosos Toyota Supra MK4 (42204). Después, aumenta la diversión explorando los detalles realistas. Esta maqueta de un icónico coche de la película incluye un motor de 6 cilindros, dirección, capó abatible y techo Targa desmontable. Incluso incluye dos botellas NOS en el maletero, igual que las que se ven en las emocionantes escenas de la primera película de Rápidos y Furiosos.Este set de coches de juguete Supra es un regalo creativo para niños amantes de los coches de Rápidos y Furiosos. También es un set ideal para construir juntos y compartir su pasión por la trepidante franquicia cinematográfica.Los sets LEGO Technic incorporan movimientos realistas para introducir a los pequeños constructores LEGO en el mundo de la ingeniería. Ofrece a los niños una aventura de construcción fácil e intuitiva con la app LEGO Builder, donde podrán ampliar y rotar modelos en 3D, guardar sets y seguir su progreso. Incluye 45 piezas. Ancho aproximado: 5"". Colección: Lego Technic."
Lego Speed Champions Ferrari 499 Piezas,412.5,https://jugueton.com.do/lego-speed-champions-ferrari-499-piezas-4187814.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187814-1__1749823593.jpg,Lego,7+,4187814,LEGO RECRUITMENT FERRARI 499P 7+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Los fanáticos de Ferrari y los niños de 7 años en adelante ahora pueden construir, exhibir y representar la acción de las carreras con este modelo a escala mini construido con ladrillos del famoso Ferrari 499P – Hypercar. Incluye 499 piezas. Colección: Lego Speed Champions."
Lego Star Wars Halcón Milenario,412.5,https://jugueton.com.do/lego-star-wars-halcon-milenario-4187813.html,https://jugueton.com.do/media/catalog/product/cache/afcac67a0d77755283578b677f040f2b/4/1/4187813-1__1749823589.jpg,Lego,6+,4187813,LEGO RECRUITMENT SW MILLENNIUM FALCON 6+,J9010401,BLOQUES,J90104,JUEGOS PARA ARMAR,J,JUGUETES,"Bienvenido al modelo LEGO® Star Wars Millennium Falcon más grande y detallado que jamás hayamos creado. De hecho, con 7500 piezas, ¡es uno de nuestros modelos LEGO más grandes, punto! Esta increíble interpretación en LEGO del inolvidable carguero corelliano de Han Solo tiene todos los detalles que los fans de Star Wars de todas las edades podrían desear, incluyendo intrincados detalles exteriores, cañones láser cuádruples superiores e inferiores, patas de aterrizaje, rampa de embarque descendente y una cabina para 4 minifiguras con cubierta desmontable. Retira las placas individuales del casco para revelar la bodega principal, el compartimento trasero y la estación de artillería, altamente detallados. Este increíble modelo también cuenta con antenas parabólicas y tripulación intercambiables, para que puedas decidir si quieres vivir las clásicas aventuras de LEGO Star Wars con Han, Leia, Chewbacca y C-3PO, o adentrarte en el mundo de los Episodios VII y VIII con Han, Rey, Finn y BB-8, ¡más veteranos! Incluye 7541 piezas. Ancho aproximado: 23"". Colección: Lego Star Wars."
